name,nmol,charge,massdiff,oidscore,quasi,ips
[M-H]-,1,-1,-1.007276,1,1,1
[M-2H]2-,1,-2,-2.014552,2,0,1
[M-3H]3-,1,-3,-3.021828,3,0,1
[M-4H]4-,1,-4,-4.029104,4,0,1
[M-2H+Na]-,1,-1,20.974666,5,0,0.75
[M-H+Cl]2-,1,-2,33.962126,6,0,1
[M-2H+K]-,1,-1,36.948606,7,0,0.5
[M-2H+NH4]-,1,-1,16.019271,8,0,0.25
[M+Cl]-,1,-1,34.969401,9,1,1
[M+2Cl]2-,1,-2,69.938802,10,0,1
[2M-H]-,2,-1,-1.007276,1,0,0.5
[2M-2H]2-,2,-2,-2.014552,2,0,0.5
[2M-3H]3-,2,-3,-3.021828,3,0,0.5
[2M-4H]4-,2,-4,-4.029104,4,0,0.5
[2M-2H+Na]-,2,-1,20.974666,5,0,0.25
[2M-H+Cl]2-,2,-2,33.962126,6,0,0.5
[2M-2H+K]-,2,-1,36.948606,7,0,0.25
[2M-2H+NH4]-,2,-1,16.019271,8,0,0.25
[2M+Cl]-,2,-1,34.969402,9,0,0.5
[2M+2Cl]2-,2,-2,69.938804,10,0,0.5
[3M-H]-,3,-1,-1.007276,1,0,0.5
[3M-2H]2-,3,-2,-2.014552,2,0,0.5
[3M-3H]3-,3,-3,-3.021828,3,0,0.5
[3M-4H]4-,3,-4,-4.029104,4,0,0.5
[3M-2H+Na]-,3,-1,20.974666,5,0,0.25
[3M-H+Cl]2-,3,-2,33.962126,6,0,0.5
[3M-2H+K]-,3,-1,36.948606,7,0,0.25
[3M-2H+NH4]-,3,-1,16.019271,8,0,0.25
[3M+Cl]-,3,-1,34.969402,9,0,0.5
[3M+2Cl]2-,3,-2,69.938804,10,0,0.5
[4M-H]-,4,-1,-1.007276,1,0,0.5
[4M-2H]2-,4,-2,-2.014552,2,0,0.5
[4M-3H]3-,4,-3,-3.021828,3,0,0.5
[4M-4H]4-,4,-4,-4.029104,4,0,0.5
[4M-2H+Na]-,4,-1,20.974668,5,0,0.25
[4M-H+Cl]2-,4,-2,33.962125,6,0,0.5
[4M-2H+K]-,4,-1,36.948605,7,0,0.25
[4M-2H+NH4]-,4,-1,16.019271,8,0,0.25
[4M+Cl]-,4,-1,34.969401,9,0,0.5
[4M+2Cl]2-,4,-2,69.938802,10,0,0.5
[M+Cl+NaCOOH]-,1,-1,102.956825,11,0,0.5
[M+Cl+HCOOH]-,1,-1,80.974881,12,0,0.5
[M-H+HCOOH]-,1,-1,44.998194,13,0,0.5
[M+Cl+CF3COOH]-,1,-1,148.962265,14,0,0.5
[2M-4H+Fe3+]-,2,-1,51.904185,15,0,0.25
[3M-4H+Fe3+]-,3,-1,51.904185,16,0,0.25
[4M-4H+Fe3+]-,4,-1,51.904185,17,0,0.25
[2M-3H+Fe2+]-,2,-1,52.91201,18,0,0.25
[3M-3H+Fe2+]-,3,-1,52.91201,19,0,0.25
[4M-3H+Fe2+]-,4,-1,52.91201,20,0,0.25
[M-H+NaCl]-,1,-1,56.951345,21,0,0.5
[M-H+(NaCl)2]-,1,-1,114.909966,22,0,0.5
[M-H+KCl]-,1,-1,72.925283,23,0,0.5
[M-H+(acetone-H2O]-,1,-1,39.024023,24,0,0.5
[M-H+CHOONa]-,1,-1,66.980148,25,0,0.5
[M-H+NH2OH]-,1,-1,32.014188,26,0,0.25
[M-H-CHNO]-,1,-1,-44.01309,27,0,0.25
[M+Br79]-,1,-1,78.918886,28,1,0.25
[M+Br81]-,1,-1,80.916839,29,1,0.25
[M-H+H3PO4-HOH]-,1,-1,78.959056,30,0,0.25
[M-H+H3PO4]-,1,-1,96.969621,31,0,0.25
[M-H+CF3COOH]-,1,-1,112.985588,32,0,0.25
[M-2H+Na+2(CHOOH)]-,1,-1,110.971076,33,0,0.25
[M+I]-,1,-1,126.905021,34,1,0.25
[M-H-(deoxyhexose-HOH)]-,1,-1,-147.065186,35,0,0.25
[M-H-(hexose-HOH)]-,1,-1,-163.060101,36,0,0.25
[M-H-deoxyhexose]-,1,-1,-165.075751,37,0,0.25
[M-H-(glucuronic_acid-HOH)]-,1,-1,-177.039366,38,0,0.25
[M-H-hexose]-,1,-1,-181.070666,39,0,0.25
[M-H-pentose]-,1,-1,-133.049536,40,0,0.25
[M-H-glucuronic acid]-,1,-1,-195.049931,41,0,0.25
[M-H-(sinapic_acid-HOH)]-,1,-1,-207.065186,42,0,0.25
[M-H+HexNAc]-,1,-1,220.082663,43,0,0.25
[M-H-gallate_O5]-,1,-1,-171.028801,44,0,0.25
[M-H-gallate_O4]-,1,-1,-153.018236,45,0,0.25
[M-H-HCOOH]-,1,-1,-47.012756,46,0,0.75
[M-H-NH3]-,1,-1,-18.033825,47,0,0.75
[M-H-H2O]-,1,-1,-19.017841,48,0,0.75
[M-H-COCH2]-,1,-1,-43.017841,49,0,0.75
[M-H-CO2]-,1,-1,-44.997106,50,0,0.75
[M-H-NH3-CO2]-,1,-1,-62.023655,51,0,0.75
[M-H-NH3-HCOOH]-,1,-1,-64.039305,52,0,0.75
[M-H-NH3-H2O]-,1,-1,-36.04439,53,0,0.75
[M-H-NH3-COCH2]-,1,-1,-60.04439,54,0,0.75
[M-H-S]-,1,-1,-32.979347,55,0,0.75
[M-H-S-NH3-HCOOH]-,1,-1,-96.011376,56,0,0.75
[M-H-(H2O)2]-,1,-1,-37.028406,57,0,0.75
[M-H-3HOH]-,1,-1,-55.038971,58,0,0.75
[M-H-CH2]-,1,-1,-15.022926,59,0,0.75
[M-H-O]-,1,-1,-17.00219,60,0,0.75
[M-H-C2H2]-,1,-1,-27.022926,61,0,0.75
[M-H-C2H4]-,1,-1,-29.038576,62,0,0.75
[M-H-CO]-,1,-1,-29.00219,63,0,0.75
[M-H-C3H6]-,1,-1,-43.054226,64,0,0.75
[M-H-C2H4O (McLafferty)]-,1,-1,-45.03349,65,0,0.75
[M-H-C4H6]-,1,-1,-55.054226,66,0,0.75
[M-H-C3H4O]-,1,-1,-57.03349,67,0,0.75
[M-H-C4H8]-,1,-1,-57.069876,68,0,0.75
[M-H-C5H8]-,1,-1,-69.069876,69,0,0.75
[M-H-C4H6O]-,1,-1,-71.04914,70,0,0.75
[M-H-C5H10]-,1,-1,-71.085526,71,0,0.75
[M-H-C6H12]-,1,-1,-85.101176,72,0,0.75
[M-H-C4H8O2]-,1,-1,-89.059705,73,0,0.75
[M-H-H2O-HCOOH]-,1,-1,-65.02332,74,0,0.75
[M-H-CH4]-,1,-1,-17.038576,75,0,0.75
[M-H-CH2O]-,1,-1,-31.01784,76,0,0.75
[M-H-C2H6]-,1,-1,-31.054226,77,0,0.75
[M-H-CH3OH]-,1,-1,-33.03349,78,0,0.75
[M-H-C3H4]-,1,-1,-41.038576,79,0,0.75
[M-H-C3H6O]-,1,-1,-59.04914,80,0,0.75
[M-H-CO2-C3H6]-,1,-1,-87.044056,81,0,0.75
[M-H-SO3]-,1,-1,-80.964092,82,0,0.75
[M-H-SO3-H2O]-,1,-1,-98.974657,83,0,0.75
[M-H-SO3-H2O-NH3]-,1,-1,-116.001206,84,0,0.75
[M-H-SO2]-,1,-1,-64.969177,85,0,0.75
[M-H-NH3-C3H4]-,1,-1,-58.065125,86,0,0.75
[M-H-H2O-CO2]-,1,-1,-63.007671,87,0,0.75
[M-H-H2O-H2O-C2H4O (McLafferty)]-,1,-1,-81.054621,88,0,0.75
[M-H-NH3-CO-CO]-,1,-1,-74.023655,89,0,0.75
[M-H-NH3-CO-COCH2]-,1,-1,-88.039305,90,0,0.75
[M-H-C8H6O]-,1,-1,-119.049141,91,0,0.75
[M-H-C8H6O-NH3]-,1,-1,-136.07569,92,0,0.75
[M-H-C8H6O-H2O]-,1,-1,-137.059706,93,0,0.75
[M-H-CO2CH2]-,1,-1,-59.012756,94,0,0.75
[M-H-CH3COOH]-,1,-1,-61.028406,95,0,0.75
[M-H-C5H8O]-,1,-1,-85.064791,96,0,0.75
[M-H-NH3-CO2-CH2O]-,1,-1,-92.03422,97,0,0.75
[M-H-NH3-CO2-NH3-H2O]-,1,-1,-97.060769,98,0,0.75
[M-H-NH3-CO2-C3H4O]-,1,-1,-118.04987,99,0,0.75
[M-H-NH3-CO2-C5H8]-,1,-1,-130.086255,100,0,0.75
[M-H-HCOOH-HCOOH]-,1,-1,-93.018235,101,0,0.75
[M-H-C2H4-CO2]-,1,-1,-73.028406,102,0,0.75
[M-H-C2H4-HCOOH]-,1,-1,-75.044056,103,0,0.75
[M-H-NH3-H2O-H2O]-,1,-1,-54.054955,104,0,0.75
[M-H-H2O-C2H2O2]-,1,-1,-77.02332,105,0,0.75
[M-H-COCH2-C4H8]-,1,-1,-99.080441,106,0,0.75
[M-H-NH3-NH3-C3H4]-,1,-1,-75.091675,107,0,0.75
[M-H-C2H4O2-CH3OH]-,1,-1,-93.054621,108,0,0.75
[M-H-C3H6O-CH3OH]-,1,-1,-91.075356,109,0,0.75
[M-H-NH3-CO-COCH2-C4H6O]-,1,-1,-158.08117,110,0,0.75
[M-H-CH2O]-,1,-1,-26.986541,111,0,0.75
[M-H-H2O-CH2O]-,1,-1,-49.028406,112,0,0.75
[M-H-C4H6-H2O]-,1,-1,-73.064791,113,0,0.75
[M-H-C4H6-C2H4]-,1,-1,-83.085527,114,0,0.75
[M-H-C4H6-NH3-H2O]-,1,-1,-90.09134,115,0,0.75
[M-H-C4H6-COCH2]-,1,-1,-97.064791,116,0,0.75
[M-H-C4H6-C4H6O]-,1,-1,-125.096092,117,0,0.75
[M-H-C3H4O-C4H6]-,1,-1,-111.080441,118,0,0.75
[M-H-C3H4O-C4H8O2]-,1,-1,-145.085921,119,0,0.75
[M-H-C4H8-C4H6]-,1,-1,-111.116827,120,0,0.75
[M-H-NH3-HCOOH-CH3OH]-,1,-1,-96.06552,121,0,0.75
[M-H-NH3-C2H6]-,1,-1,-48.080776,122,0,0.75
[M-H-NH3-C8H6O-CH2]-,1,-1,-150.091341,123,0,0.75
[M-H-NH3-C3H4-COCH2]-,1,-1,-100.07569,124,0,0.75
[M-H-C3H9N]-,1,-1,-60.080776,125,0,0.75
[M-H-C3H9N-C2H4O2]-,1,-1,-120.101905,126,0,0.75
[M-H-CH3]-,1,-1,-16.030751,127,0,0.5
[M-H-HCN]-,1,-1,-28.018175,128,0,0.5
[M-H+CH3CN]-,1,-1,40.019273,129,0,0.5
[M-2H-Li]-,1,-1,5.000902,130,0,0.25
[M-H+CH3OH]-,1,-1,31.018939,131,0,0.5
[M-H-HCOO-CH3]-,1,-1,-61.028406,132,0,0.5
[M-H-OH]-,1,-1,-16.018175,133,0,0.5
[M-H+CH3COOH]-,1,-1,59.013854,134,0,0.5
[M-H-C2H2O)]-,1,-1,-43.017841,135,0,0.5
[M-H-CH4N]-,1,-1,-31.04165,136,0,0.5
[M-H-C2H6O)]-,1,-1,-47.049141,137,0,0.25
[M-H-H2O-H2)]-,1,-1,-21.033491,138,0,0.25
[M-CH3COOH)]-,1,-1,-61.028406,139,0,0.25
[M-CH3OH)]-,1,-1,-33.033491,140,0,0.25
[M-H-CH-C-CO2H],1,-1,-60.020581,141,0,0.25
[M-H-TWO_gallate_O4],1,-1,-305.029196,142,0,0.25
[M-H-H2S],1,-1,-34.994997,143,0,0.25
[M-H-HCl],1,-1,-36.983953,144,0,0.25
[M-H-HBr-79],1,-1,-80.9334381,145,0,0.25
[M-H-HBr-81],1,-1,-82.931391,146,0,0.25
